date,prices
1-Jan-01,109.8184
1-Feb-01,110.5863
1-Mar-01,111.5936
1-Apr-01,112.522
1-May-01,113.4383
1-Jun-01,114.3913
1-Jul-01,115.4048
1-Aug-01,116.1308
1-Sep-01,116.7897
1-Oct-01,117.3538
1-Nov-01,117.8063
1-Dec-01,117.8651
1-Jan-02,118.1774
1-Feb-02,118.7901
1-Mar-02,119.7301
1-Apr-02,120.873
1-May-02,122.306
1-Jun-02,123.7421
1-Jul-02,125.1702
1-Aug-02,126.2771
1-Sep-02,127.1468
1-Oct-02,127.792
1-Nov-02,128.4447
1-Dec-02,128.9658
1-Jan-03,129.6282
1-Feb-03,130.2138
1-Mar-03,131.1527
1-Apr-03,132.302
1-May-03,133.5823
1-Jun-03,134.826
1-Jul-03,136.1563
1-Aug-03,137.5713
1-Sep-03,139.0639
1-Oct-03,140.42
1-Nov-03,141.7018
1-Dec-03,142.9835
1-Jan-04,144.3563
1-Feb-04,145.5517
1-Mar-04,147.3702
1-Apr-04,149.5671
1-May-04,151.7461
1-Jun-04,154.1473
1-Jul-04,156.2276
1-Aug-04,157.9506
1-Sep-04,159.8446
1-Oct-04,161.7715
1-Nov-04,163.5813
1-Dec-04,165.4623
1-Jan-05,167.1846
1-Feb-05,168.9142
1-Mar-05,171.6482
1-Apr-05,174.42
1-May-05,176.6924
1-Jun-05,179.0595
1-Jul-05,181.2397
1-Aug-05,183.4797
1-Sep-05,186.0243
1-Oct-05,187.8243
1-Nov-05,189.3285
1-Dec-05,190.8165
1-Jan-06,191.949
1-Feb-06,192.5114
1-Mar-06,193.3214
1-Apr-06,193.7099
1-May-06,193.306
1-Jun-06,192.5244
1-Jul-06,191.9486
1-Aug-06,191.7338
1-Sep-06,192.2159
1-Oct-06,192.3284
1-Nov-06,192.0213
1-Dec-06,191.4591
1-Jan-07,190.8316
1-Feb-07,189.7146
1-Mar-07,187.9505
1-Apr-07,186.5943
1-May-07,184.8594
1-Jun-07,183.4538
1-Jul-07,182.2138
1-Aug-07,180.7993
1-Sep-07,179.3732
1-Oct-07,177.1148
1-Nov-07,174.4837
1-Dec-07,171.8103
1-Jan-08,168.8464
1-Feb-08,165.5877
1-Mar-08,162.7012
1-Apr-08,160.3693
1-May-08,158.6759
1-Jun-08,157.4201
1-Jul-08,155.7434
1-Aug-08,153.8496
1-Sep-08,151.2271
1-Oct-08,147.9893
1-Nov-08,144.948
1-Dec-08,141.3153
1-Jan-09,138.1607
1-Feb-09,136.3589
1-Mar-09,135.3782
1-Apr-09,135.5682
1-May-09,136.9681
1-Jun-09,138.7326
1-Jul-09,139.7275
1-Aug-09,140.1696
1-Sep-09,139.6839
1-Oct-09,139.1618
1-Nov-09,139.2322
1-Dec-09,138.1785
1-Jan-10,136.2586
1-Feb-10,134.4506
1-Mar-10,135.1334
1-Apr-10,136.8252
1-May-10,138.4804
1-Jun-10,139.6768
1-Jul-10,139.4443
1-Aug-10,138.419
1-Sep-10,136.6635
1-Oct-10,135.224
1-Nov-10,134.2213
1-Dec-10,133.0826
1-Jan-11,131.3039
1-Feb-11,129.6388
1-Mar-11,129.2354
1-Apr-11,130.5974
1-May-11,132.3268
1-Jun-11,134.245
1-Jul-11,135.1983
1-Aug-11,135.2328
1-Sep-11,134.4429
1-Oct-11,133.3629
1-Nov-11,132.399
1-Dec-11,131.8009
1-Jan-12,130.8633
1-Feb-12,130.4474
1-Mar-12,131.7767
1-Apr-12,134.214
1-May-12,136.9438
1-Jun-12,139.4057
1-Jul-12,140.8942
1-Aug-12,141.7063
1-Sep-12,141.7184
1-Oct-12,141.5399
1-Nov-12,141.8105
1-Dec-12,142.2208
1-Jan-13,142.26
1-Feb-13,142.638
1-Mar-13,144.9049
1-Apr-13,147.706
1-May-13,150.4532
1-Jun-13,152.593
1-Jul-13,154.2838
1-Aug-13,155.4341
1-Sep-13,155.9726
1-Oct-13,156.1464
1-Nov-13,156.3658
1-Dec-13,156.5766
1-Jan-14,156.6076
1-Feb-14,157.0228
1-Mar-14,158.2493
1-Apr-14,159.7997
1-May-14,161.2564
1-Jun-14,162.4259
1-Jul-14,163.2793
1-Aug-14,163.8287
1-Sep-14,164.0274
1-Oct-14,164.2736
1-Nov-14,164.4582
1-Dec-14,164.474
1-Jan-15,164.6022
1-Feb-15,165.222
1-Mar-15,166.7322
1-Apr-15,168.4532
1-May-15,170.0043
1-Jun-15,171.1778
1-Jul-15,171.8551
1-Aug-15,172.402
1-Sep-15,172.9601
1-Oct-15,173.3141
1-Nov-15,173.5813
1-Dec-15,173.939
1-Jan-16,174.1318
1-Feb-16,174.5375
1-Mar-16,176.0794
1-Apr-16,177.9341
1-May-16,179.1176
1-Jun-16,179.878
1-Jul-16,180.5884
1-Aug-16,181.1704
1-Sep-16,181.8805
1-Oct-16,182.494
1-Nov-16,183.1279
1-Dec-16,183.3285